time,thermofilter_temp_c
1692625479339, 98.5
1692625479439, 98.5
1692625479539, 98.75
1692625479639, 98.75
1692625479739, 98.75
1692625479839, 98.75
1692625479939, 98.75
1692625480039, 98.75
1692625480139, 98.5
1692625480239, 98.75
1692625480339, 98.5
1692625480439, 98.5
1692625480539, 98.5
1692625480639, 98.5
1692625480739, 98.5
1692625480839, 98.5
1692625480939, 98.5
1692625481039, 98.5
1692625481139, 98.5
1692625481239, 98.5
1692625481339, 98.5
1692625481439, 98.5
1692625481539, 98.5
1692625481639, 98.25
1692625481739, 98.5
1692625481840, 98.5
1692625481939, 98.5
1692625482039, 98.5
1692625482139, 98.5
1692625482239, 98.5
1692625482339, 98.5
1692625482439, 98.5
1692625482539, 98.25
1692625482639, 98.5
1692625482739, 98.5
1692625482839, 98.25
1692625482939, 98.5
1692625483039, 98.5
1692625483139, 98.25
1692625483239, 98.5
1692625483339, 98.5
1692625483439, 98.25
1692625483539, 98.25
1692625483639, 98.25
1692625483739, 98.25
1692625483839, 98.25
1692625483939, 98.25
1692625484039, 98.25
1692625484139, 98.5
1692625484239, 98.25
1692625484339, 98.25
1692625484439, 98.25
1692625484539, 98.25
1692625484639, 98.25
1692625484739, 98.25
1692625484839, 98.25
1692625484939, 98.25
1692625485039, 98.25
1692625485139, 98.25
1692625485239, 98.25
1692625485339, 98.25
1692625485439, 98.25
1692625485539, 98.25
1692625485639, 98.25
1692625485739, 98.25
1692625485839, 98.25
1692625485939, 98
1692625486039, 98.25
1692625486139, 98.25
1692625486239, 98
1692625486339, 98.25
1692625486439, 98.25
1692625486539, 98
1692625486639, 98.25
1692625486739, 98
1692625486839, 98
1692625486939, 98.25
1692625487039, 98
1692625487139, 98
1692625487239, 98.25
1692625487339, 98.25
1692625487439, 98
1692625487539, 98
1692625487639, 98
1692625487739, 98
1692625487839, 98
1692625487939, 98
1692625488039, 98
1692625488139, 98
1692625488239, 98
1692625488339, 98
1692625488439, 98
1692625488539, 98
1692625488639, 98
1692625488739, 98
1692625488839, 98
1692625488939, 98
1692625489039, 97.75
1692625489139, 97.75
1692625489239, 98
1692625489339, 98
1692625489439, 97.75
1692625489539, 97.75
1692625489639, 97.75
1692625489739, 97.75
1692625489839, 97.75
1692625489939, 97.75
1692625490039, 97.75
1692625490139, 97.75
1692625490239, 97.75
1692625490339, 97.75
1692625490439, 97.75
1692625490539, 97.75
1692625490639, 97.75
1692625490739, 97.75
1692625490840, 97.75
1692625490939, 97.75
1692625491039, 97.75
1692625491139, 97.5
1692625491239, 97.75
1692625491339, 97.75
1692625491439, 97.5
1692625491539, 97.75
1692625491639, 97.75
1692625491739, 97.5
1692625491839, 97.75
1692625491939, 97.5
1692625492039, 97.5
1692625492139, 97.5
1692625492239, 97.5
1692625492339, 97.5
1692625492439, 97.75
1692625492539, 97.5
1692625492639, 97.5
1692625492739, 97.5
1692625492839, 97.5
1692625492939, 97.5
1692625493039, 97.5
1692625493139, 97.5
1692625493239, 97.5
1692625493339, 97.5
1692625493439, 97.25
1692625493539, 97.5
1692625493639, 97.5
1692625493739, 97.25
1692625493839, 97.5
1692625493939, 97.5
1692625494039, 97.25
1692625494139, 97.5
1692625494239, 97.5
1692625494339, 97.25
1692625494439, 97.5
1692625494539, 97.25
1692625494639, 97.25
1692625494739, 97.25
1692625494839, 97.25
1692625494939, 97.25
1692625495039, 97.25
1692625495139, 97.25
1692625495239, 97.25
1692625495339, 97.25
1692625495439, 97
1692625495539, 97.25
1692625495639, 97.25
1692625495739, 97.25
1692625495839, 97.25
1692625495939, 97.25
1692625496039, 97
1692625496139, 97.25
1692625496239, 97
1692625496339, 97
1692625496439, 97
1692625496539, 97
1692625496639, 97
1692625496739, 97
1692625496839, 97
1692625496939, 97.25
1692625497039, 97
1692625497139, 97
1692625497239, 97
1692625497339, 97
1692625497439, 97
1692625497539, 97
1692625497639, 97
1692625497739, 97
1692625497839, 97
1692625497939, 97
1692625498039, 97
1692625498139, 97
1692625498239, 97
1692625498339, 97
1692625498439, 97
1692625498539, 97
1692625498639, 97
1692625498739, 97
1692625498839, 96.75
1692625498939, 97
1692625499039, 97
1692625499139, 97
1692625499239, 97
1692625499339, 97
1692625499439, 97
1692625499539, 97
1692625499639, 97
1692625499739, 96.75
1692625499839, 96.75
1692625499939, 96.75
1692625500039, 96.75
1692625500139, 97
1692625500239, 96.75
1692625500339, 96.75
1692625500439, 96.75
1692625500539, 96.75
1692625500639, 96.75
1692625500739, 96.75
1692625500839, 96.75
1692625500939, 96.75
1692625501039, 96.75
1692625501139, 96.75
1692625501239, 96.75
1692625501339, 96.75
1692625501439, 96.75
1692625501541, 96.75
1692625501639, 96.75
1692625501739, 96.5
1692625501839, 96.75
1692625501939, 96.75
1692625502039, 96.5
1692625502139, 96.75
1692625502239, 96.75
1692625502339, 96.5
1692625502439, 96.75
1692625502539, 96.5
1692625502640, 96.5
1692625502739, 96.5
1692625502839, 96.5
1692625502939, 96.5
1692625503039, 96.5
1692625503139, 96.5
1692625503239, 96.5
1692625503339, 96.5
1692625503439, 96.5
1692625503539, 96.5
1692625503639, 96.5
1692625503739, 96.5
1692625503839, 96.5
1692625503939, 96.5
1692625504039, 96.25
1692625504139, 96.5
1692625504240, 96.5
1692625504339, 96.25
1692625504439, 96.5
1692625504539, 96.5
1692625504639, 96.25
1692625504739, 96.5
1692625504839, 96.5
1692625504939, 96.5
1692625505039, 96.5
1692625505139, 96.25
1692625505239, 96.25
1692625505339, 96.25
1692625505439, 96.25
1692625505539, 96.5
1692625505639, 96.5
1692625505739, 96.25
1692625505839, 96.25
1692625505939, 96.25
1692625506039, 96
1692625506139, 96.25
1692625506239, 96.25
1692625506339, 96
1692625506439, 96.25
1692625506539, 96.25
1692625506639, 96
1692625506739, 96.25
1692625506839, 96.25
1692625506939, 96.25
1692625507039, 96.25
1692625507139, 96.25
1692625507239, 96
1692625507339, 96.25
1692625507439, 96
1692625507539, 96.25
1692625507639, 96.25
1692625507739, 96
1692625507839, 96.25
1692625507939, 96.25
1692625508040, 96
1692625508139, 96.25
1692625508239, 96
1692625508339, 96
1692625508439, 96
1692625508539, 96
1692625508639, 96
1692625508739, 96
1692625508839, 96
1692625508939, 96
1692625509039, 96
1692625509139, 96
1692625509239, 95.75
1692625509339, 96
1692625509439, 95.75
1692625509539, 96
1692625509639, 96
1692625509739, 96
1692625509839, 96
1692625509939, 96
1692625510039, 95.75
1692625510139, 96
1692625510239, 95.75
1692625510339, 95.75
1692625510439, 95.75
1692625510539, 96
1692625510639, 95.75
1692625510739, 95.75
1692625510839, 96
1692625510939, 95.75
1692625511039, 95.75
1692625511139, 95.75
1692625511239, 95.75
1692625511339, 95.75
1692625511439, 95.75
1692625511539, 95.75
1692625511639, 95.75
1692625511739, 95.75
1692625511839, 95.75
1692625511939, 95.75
1692625512039, 95.75
1692625512139, 95.75
1692625512239, 95.75
1692625512339, 95.5
1692625512439, 95.75
1692625512539, 95.75
1692625512639, 95.75
1692625512739, 95.75
1692625512839, 95.75
1692625512939, 95.75
1692625513039, 95.75
1692625513139, 95.75
1692625513239, 95.5
1692625513339, 95.75
1692625513439, 95.75
1692625513539, 95.5
1692625513639, 95.75
1692625513739, 95.75
1692625513839, 95.75
1692625513939, 95.75
1692625514039, 95.5
1692625514139, 95.5
1692625514239, 95.75
1692625514339, 95.5
1692625514439, 95.5
1692625514539, 95.5
1692625514639, 95.25
1692625514739, 95.5
1692625514839, 95.5
1692625514939, 95.5
1692625515040, 95.5
1692625515139, 95.5
1692625515239, 95.5
1692625515339, 95.5
1692625515439, 95.5
1692625515539, 95.5
1692625515639, 95.5
1692625515739, 95.5
1692625515839, 95.5
1692625515939, 95.5
1692625516039, 95.5
1692625516139, 95.5
1692625516239, 95.5
1692625516339, 95.25
1692625516439, 95.5
1692625516539, 95.5
1692625516639, 95.25
1692625516739, 95.5
1692625516839, 95.5
1692625516939, 95.25
1692625517039, 95.5
1692625517139, 95.25
1692625517239, 95.25
1692625517339, 95.5
1692625517439, 95.25
1692625517539, 95.25
1692625517639, 95.5
1692625517739, 95.5
1692625517839, 95.25
1692625517939, 95.25
1692625518039, 95.25
1692625518139, 95.5
1692625518239, 95.5
1692625518339, 95.25
1692625518439, 95.25
1692625518539, 95.25
1692625518639, 95.25
1692625518739, 95.25
1692625518839, 95.25
1692625518939, 95
1692625519039, 95.25
1692625519139, 95.25
1692625519239, 95
1692625519339, 92.75
1692625519439, 91.75
1692625519539, 91.5
1692625519639, 91
1692625519739, 91
1692625519839, 90.5
1692625519939, 86.5
1692625520039, 86.25
1692625520139, 85.5
1692625520239, 84.25
1692625520339, 82
1692625520439, 75.75
1692625520539, 73.5
1692625520639, 72
1692625520739, 74.25
1692625520839, 75.75
1692625520939, 74
1692625521039, 74
1692625521139, 74.5
1692625521239, 75.5
1692625521339, 75.75
