time,boiler_temp_c,grouphead_temp_c,heat_level
1692714225798,100.5,72.0,0.0
1692714225891,100.5,72.0,0.0
1692714225982,100.5,72.0,0.0
1692714226073,100.5,72.0,0.0
1692714226165,100.5,72.0,0.0
1692714226256,100.5,72.0,0.0
1692714226348,100.5,72.0,0.0
1692714226439,100.5,72.0,0.0
1692714226530,100.5,72.25,0.0
1692714226621,100.5,72.0,0.0
1692714226713,100.5,72.25,0.0
1692714226804,100.5,72.25,0.0
1692714226895,100.5,72.0,0.0
1692714226986,100.5,72.0,0.0
1692714227078,100.5,72.0,0.0
1692714227170,100.5,72.0,0.0
1692714227262,100.5,72.0,0.0
1692714227353,100.25,72.25,0.0
1692714227445,100.5,72.0,0.0
1692714227539,100.5,72.0,0.0
1692714227631,100.25,72.25,0.0
1692714227722,100.5,72.25,0.0
1692714227813,100.25,72.0,0.0
1692714227906,100.5,72.25,0.0
1692714227998,100.5,72.0,0.0
1692714228089,100.5,72.0,0.0
1692714228181,100.25,72.0,0.0
1692714228272,100.5,72.0,0.0
1692714228363,100.25,72.0,0.0
1692714228455,100.25,72.25,0.0
1692714228546,100.5,72.0,0.0
1692714228638,100.25,72.0,0.0
1692714228730,100.25,72.25,0.0
1692714228822,100.25,72.0,0.0
1692714228914,100.25,72.25,0.0
1692714229006,100.25,72.25,0.0
1692714229098,100.25,72.0,0.0
1692714229190,100.25,72.25,0.0
1692714229281,100.25,72.25,0.0
1692714229372,100.25,72.25,0.0
1692714229463,100.5,72.25,0.0
1692714229555,100.25,72.25,0.0
1692714229647,100.25,72.0,0.0
1692714229739,100.25,72.0,0.0
1692714229831,100.25,72.25,0.0
1692714229922,100.25,72.25,0.0
1692714230013,100.25,72.25,0.0
1692714230106,100.5,72.25,0.0
1692714230198,100.25,72.0,0.0
1692714230289,100.25,72.25,0.0
1692714230380,100.25,72.25,0.0
1692714230472,100.25,72.25,0.0
1692714230565,100.25,72.25,0.0
1692714230656,100.25,72.25,0.0
1692714230747,100.25,72.25,0.0
1692714230839,100.25,72.25,0.0
1692714230931,100.25,72.25,0.0
1692714231022,100.25,72.25,0.0
1692714231120,100.25,72.25,0.0
1692714231211,100.25,72.25,0.0
1692714231303,100.25,72.25,0.0
